"","X","tss","roc"
"1",1,"0.9855",0.998588775510204
"2",14,"LQ",1.5
"3",3,"-55.615",-52.024
"4",4,"-69.595",-67.303
"5",5,"-44.385",-40.947
"6",6,"-52.024",-48.892
"7",7,"-53.629",-49.427
"8",8,"-63.102",-60.122
"9",9,"-33.461",-24.981
"10",10,"-39.496",-33.308
"11",11,"-40.107",-33.384
"12",12,"-48.052",-39.954
"13",13,"-47.517",-39.801
"14",141,"-69.442",-68.984
"15",15,"-67.762",-66.387
"16",16,"-64.477",-62.567
"17",17,"-56.608",-53.552
"18",18,"-73.95",-73.415
"19",19,"-71.199",-69.595
"20",20,"-76.394",-75.019
