"","X","tss","roc"
"1",1,"0.692686206896552",0.913534482758621
"2",39,"H",3.5
"3",3,"-9.816",-3.255
"4",4,"-12.146",-3.537
"5",5,"-5.507",2.15
"6",6,"-6.201",5.627
"7",7,"-5.319",6.784
"8",8,"-11.7",3.092
"9",9,"-4.069",3.734
"10",10,"-5.884",4.325
"11",11,"-7.657",1.105
"12",12,"-8.582",2.57
"13",13,"-9.225",-4.026
"14",14,"-7.195",2.321
"15",15,"-8.283",-0.471
"16",16,"-17.062",-11.049
"17",17,"-10.827",-5.773
"18",18,"-7.478",3.923
"19",19,"-7.375",5.139
"20",20,"-11.709",-2.218
