"","X","tss","roc"
"1",1,"0.723444380403458",0.94049265129683
"2",24,"LQHPT",2
"3",3,"-45.036",-41.114
"4",4,"-61.306",-57.672
"5",5,"-22.872",-16.102
"6",6,"-30.618",-24.865
"7",7,"-34.744",-29.334
"8",8,"-47.653",-43.331
"9",9,"-21.666",-16.93
"10",10,"-34.996",-31.053
"11",11,"-35.67",-31.874
"12",12,"-50.923",-48.446
"13",13,"-27.292",-20.354
"14",14,"-40.455",-35.108
"15",15,"-37.662",-32.113
"16",16,"-62.029",-59.447
"17",17,"-36.084",-32.204
"18",18,"-44.264",-40.37
"19",19,"-47.45",-42.51
"20",20,"-65.628",-63.06
