"","X","tss","roc"
"1",1,"0.669119020781966",0.916097728073265
"2",24,"LQHPT",2
"3",3,"-54.675",-33.151
"4",4,"-64.417",-20.387
"5",5,"-41.881",-31.062
"6",6,"-53.102",-38.51
"7",7,"-54.034",-34.833
"8",8,"-66.805",-34.6
"9",9,"-37.331",-28.317
"10",10,"-49.316",-38.219
"11",11,"-51.908",-38.896
"12",12,"-61.315",-37.484
"13",13,"-39.333",-27.086
"14",14,"-54.573",-29.46
"15",15,"-50.24",-28.455
"16",16,"-63.15",-18.895
"17",17,"-46.731",-31.608
"18",18,"-54.252",-27.69
"19",19,"-57.252",-28.812
"20",20,"-65.975",-6.735
