"","X","tss","roc"
"1",1,"0.785948780487805",0.944792682926829
"2",30,"LQHPT",2.5
"3",3,"-68.862",-66.793
"4",4,"-84.094",-82.687
"5",5,"-50.792",-50.201
"6",6,"-62.228",-61.187
"7",7,"-64.451",-63.387
"8",8,"-78.489",-77.862
"9",9,"-44.099",-43.236
"10",10,"-60.454",-59.827
"11",11,"-64.428",-63.718
"12",12,"-79.849",-79.328
"13",13,"-51.738",-48.865
"14",14,"-72.316",-71.086
"15",15,"-68.874",-66.864
"16",16,"-84.224",-83.16
"17",17,"-58.964",-57.521
"18",18,"-70.967",-69.986
"19",19,"-75.591",-74.74
"20",20,"-87.263",-86.719
