"","X","tss","roc"
"1",1,"0.824318918918919",0.949735135135135
"2",48,"LQHPT",4
"3",3,"-0.166",112.225
"4",4,"-1.135",162.757
"5",5,"-0.047",49.22
"6",6,"0",78.127
"7",7,"-0.166",69.78
"8",8,"-0.402",96.713
"9",9,"-0.142",55.533
"10",10,"-0.201",79.652
"11",11,"-1.265",85.599
"12",12,"-2.471",116.943
"13",13,"-0.13",83.991
"14",14,"-0.307",130.669
"15",15,"-0.225",104.339
"16",16,"-3.795",158.182
"17",17,"-0.177",96.784
"18",18,"-0.378",122.18
"19",19,"-0.189",136.794
"20",20,"-0.296",189.501
