"","X","tss","roc"
"1",1,"0.768033628318584",0.956740707964602
"2",26,"LQ",2.5
"3",3,"-65.139",-63.255
"4",4,"-76.538",-72.899
"5",5,"-46.555",-45.28
"6",6,"-55.866",-54.72
"7",7,"-58.156",-56.364
"8",8,"-71.919",-71.107
"9",9,"-39.054",-36.671
"10",10,"-55.274",-53.907
"11",11,"-56.05",-54.886
"12",12,"-72.123",-71.144
"13",13,"-52.762",-51.524
"14",14,"-73.527",-73.139
"15",15,"-64.29",-62.258
"16",16,"-79.161",-77.055
"17",17,"-56.974",-56.087
"18",18,"-70.275",-69.333
"19",19,"-71.18",-69.352
"20",20,"-81.895",-80.491
