"","X","tss","roc"
"1",1,"0.653925490196078",0.912644362745098
"2",48,"LQHPT",4
"3",3,"-45.643",-30.446
"4",4,"-65.912",-51.334
"5",5,"-31.896",-24.668
"6",6,"-39.693",-32.855
"7",7,"-39.447",-31.319
"8",8,"-58.396",-53.628
"9",9,"-25.26",-16.683
"10",10,"-36.62",-31.643
"11",11,"-35.682",-28.621
"12",12,"-47.656",-39.916
"13",13,"-29.046",-12.803
"14",14,"-48.19",-30.114
"15",15,"-45.752",-35.466
"16",16,"-59.009",-41.676
"17",17,"-39.094",-25.49
"18",18,"-52.243",-40.205
"19",19,"-50.902",-36.93
"20",20,"-65.602",-53.34
