"","X","tss","roc"
"1",1,"0.922117391304348",0.986691304347826
"2",48,"LQHPT",4
"3",3,"-41.701",-25.541
"4",4,"-60.232",-43.866
"5",5,"-23.428",3.247
"6",6,"-31.675",-16.34
"7",7,"-40.412",-27.165
"8",8,"-52.113",-34.639
"9",9,"-22.938",-10.103
"10",10,"-38.608",-28.686
"11",11,"-37.423",-25.077
"12",12,"-57.294",-46.572
"13",13,"-36.186",-18.866
"14",14,"-48.582",-35.284
"15",15,"-43.351",-31.649
"16",16,"-50.284",-30.902
"17",17,"-31.881",-17.345
"18",18,"-42.01",-28.969
"19",19,"-49.459",-36.082
"20",20,"-61.907",-48.454
