"","X","tss","roc"
"1",1,"0.796360767946578",0.961464023372287
"2",30,"LQHPT",2.5
"3",3,"-54.388",-36.489
"4",4,"-63.103",-37.084
"5",5,"-36.961",-23.243
"6",6,"-46.524",-33.595
"7",7,"-49.755",-37.178
"8",8,"-60.536",-45.345
"9",9,"-35.042",-26.13
"10",10,"-51.736",-43.939
"11",11,"-53.1",-44.538
"12",12,"-63.743",-53.288
"13",13,"-43.455",-24.267
"14",14,"-52.816",-32.865
"15",15,"-53.118",-38.962
"16",16,"-62.757",-40.767
"17",17,"-46.818",-31.87
"18",18,"-54.268",-37.818
"19",19,"-56.152",-37.307
"20",20,"-64.301",-37.005
