"","X","tss","roc"
"1",1,"0.779518181818182",0.947246590909091
"2",36,"LQHPT",3
"3",3,"-36.128",-31.369
"4",4,"-47.261",-40.857
"5",5,"-27.848",-20.302
"6",6,"-37.292",-32.347
"7",7,"-39.582",-33.422
"8",8,"-45.868",-37.173
"9",9,"-22.193",-15.225
"10",10,"-35.031",-29.168
"11",11,"-36.083",-29.523
"12",12,"-42.206",-34.883
"13",13,"-40.442",-34.082
"14",14,"-47.58",-43.851
"15",15,"-37.692",-31.821
"16",16,"-45.119",-38.648
"17",17,"-36.736",-31.169
"18",18,"-39.441",-34.112
"19",19,"-44.029",-39.515
"20",20,"-49.366",-43.629
