"","X","tss","roc"
"1",1,"0.805293103448276",0.946562068965517
"2",8,"LQ",1
"3",3,"-5.064",55.31
"4",4,"-12.3",59.686
"5",5,"-15.078",2.429
"6",6,"-13.653",28.936
"7",7,"-12.567",16.81
"8",81,"-13.838",21.043
"9",9,"-3.188",28.465
"10",10,"-7.401",28.352
"11",11,"-5.463",41.154
"12",12,"-6.16",59.84
"13",13,"-6.827",47.181
"14",14,"-9.502",52.942
"15",15,"-11.275",27.809
"16",16,"-10.834",70.357
"17",17,"-7.462",45.09
"18",18,"-9.533",42.815
"19",19,"-10.629",36.091
"20",20,"-8.938",61.091
