"","X","tss","roc"
"1",1,"0.852425",0.94615078125
"2",46,"LQH",4
"3",3,"-40.628",-39.828
"4",4,"-67.949",-67.818
"5",5,"-23.524",-23.322
"6",6,"-33.377",-33.195
"7",7,"-37.003",-36.942
"8",8,"-54.359",-54.349
"9",9,"-21.418",-21.124
"10",10,"-32.172",-32.03
"11",11,"-35.159",-34.856
"12",12,"-54.025",-53.863
"13",13,"-27.737",-26.997
"14",14,"-43.595",-43.372
"15",15,"-38.846",-38.43
"16",16,"-56.719",-56.608
"17",17,"-32.618",-32.324
"18",18,"-43.797",-43.585
"19",19,"-49.256",-49.084
"20",20,"-72.304",-72.233
