"","X","tss","roc"
"1",1,"0.983",0.994277631578947
"2",37,"L",3.5
"3",3,"-28.664",-27.171
"4",4,"-36.431",-34.193
"5",5,"-8.955",-1.323
"6",6,"-18.826",-11.533
"7",7,"-14.586",-7.429
"8",8,"-20.556",-12.992
"9",9,"-4.104",2.646
"10",10,"-10.719",-5.36
"11",11,"-9.091",-3.324
"12",12,"-13.433",-4.613
"13",13,"-22.727",-14.79
"14",14,"-31.072",-25.068
"15",15,"-23.982",-13.908
"16",16,"-30.054",-14.925
"17",17,"-26.798",-24.898
"18",18,"-35.821",-34.091
"19",19,"-35.007",-31.988
"20",20,"-44.301",-41.282
