"","X","tss","roc"
"1",1,"0.855783673469388",0.960163265306123
"2",8,"LQ",1
"3",3,"-45.635",-30.7
"4",4,"-62.605",-47.65
"5",5,"-23.345",-16.427
"6",6,"-35.572",-25.818
"7",7,"-38.482",-30.508
"8",81,"-56.764",-39.91
"9",9,"-21.671",-13.026
"10",10,"-36.734",-28.76
"11",11,"-40.198",-30.658
"12",12,"-57.467",-46.125
"13",13,"-27.225",-17.61
"14",14,"-51.061",-41.147
"15",15,"-40.102",-28.622
"16",16,"-61.795",-49.344
"17",17,"-24.944",-12.451
"18",18,"-48.364",-36.339
"19",19,"-54.738",-41.392
"20",20,"-71.89",-62.691
