"","X","tss","roc"
"1",1,"0.733516243654822",0.944443654822335
"2",24,"LQHPT",2
"3",3,"-36.302",-24.694
"4",4,"-47.067",-35.908
"5",5,"-26.191",-15.603
"6",6,"-33.642",-23.088
"7",7,"-36.894",-26.497
"8",8,"-47.38",-38.67
"9",9,"-23.285",-14.426
"10",10,"-35.445",-25.633
"11",11,"-35.506",-24.694
"12",12,"-45.509",-35.404
"13",13,"-29.614",-15.651
"14",14,"-41.263",-28.858
"15",15,"-37.738",-24.755
"16",16,"-42.236",-27.96
"17",17,"-31.634",-18.379
"18",18,"-38.718",-26.157
"19",19,"-41.998",-28.899
"20",20,"-50.83",-41.174
