"","X","tss","roc"
"1",1,"0.776388198757764",0.955145652173913
"2",32,"LQ",3
"3",3,"-54.697",-53.699
"4",4,"-69.836",-69.378
"5",5,"-38.195",-37.13
"6",6,"-48.709",-48.216
"7",7,"-49.181",-48.634
"8",8,"-70.247",-69.654
"9",9,"-28.114",-26.913
"10",10,"-45.903",-45.499
"11",11,"-48.891",-48.23
"12",12,"-63.571",-63.194
"13",13,"-40.866",-39.585
"14",14,"-58.406",-57.199
"15",15,"-52.573",-51.898
"16",16,"-78.097",-77.085
"17",17,"-41.007",-38.431
"18",18,"-54.852",-54.09
"19",19,"-52.525",-50.819
"20",20,"-76.937",-76.216
