"","X","tss","roc"
"1",1,"0.683838985228003",0.916361143224149
"2",18,"LQHPT",1.5
"3",3,"-50.726",-45.737
"4",4,"-66.133",-61.258
"5",5,"-31.796",-25.505
"6",6,"-44.214",-39.162
"7",7,"-45.702",-40.621
"8",8,"-64.546",-60.988
"9",9,"-31.483",-26.302
"10",10,"-45.808",-41.133
"11",11,"-48.769",-44.577
"12",12,"-61.173",-56.995
"13",13,"-31.917",-23.107
"14",14,"-51.587",-46.805
"15",15,"-46.164",-40.613
"16",16,"-64.147",-59.678
"17",17,"-38.706",-32.088
"18",181,"-51.566",-46.442
"19",19,"-55.195",-49.609
"20",20,"-70.673",-66.482
