"","X","tss","roc"
"1",1,"0.613684905660377",0.882833962264151
"2",34,"LQH",3
"3",3,"-31.602",-16.677
"4",4,"-41.307",-26.859
"5",5,"-23.84",-8.499
"6",6,"-28.549",-17.195
"7",7,"-34.976",-23.683
"8",8,"-47.066",-38.915
"9",9,"-17.761",-9.753
"10",10,"-33.81",-28.454
"11",11,"-38.472",-32.768
"12",12,"-44.626",-37.307
"13",13,"-21.713",-0.436
"14",14,"-23.274",-2.338
"15",15,"-29.728",-17.781
"16",16,"-44.394",-30.798
"17",17,"-24.828",-5.854
"18",18,"-27.554",-9.098
"19",19,"-27.84",-6.236
"20",20,"-41.662",-29.605
