"","X","tss","roc"
"1",1,"0.776892307692308",0.94498
"2",2,"LQ",0.5
"3",3,"-45.541",-42.027
"4",4,"-60.267",-53.554
"5",5,"-39.787",-35.529
"6",6,"-49.745",-48.328
"7",7,"-49.323",-46.697
"8",8,"-67.411",-66.102
"9",9,"-25.769",-22.47
"10",10,"-47.826",-46.688
"11",11,"-47.19",-46.106
"12",12,"-59.649",-58.779
"13",13,"-41.409",-35.35
"14",14,"-55.221",-52.209
"15",15,"-49.664",-46.572
"16",16,"-75.943",-74.196
"17",17,"-39.473",-33.853
"18",18,"-51.08",-46.697
"19",19,"-48.839",-39.688
"20",20,"-69.633",-62.696
