"","X","tss","roc"
"1",1,"0.811360784313725",0.952263725490196
"2",14,"LQ",1.5
"3",3,"-47.377",-27.056
"4",4,"-63.532",-36.554
"5",5,"-31.762",-25.929
"6",6,"-45.511",-39.942
"7",7,"-42.935",-30.184
"8",8,"-66.019",-56.937
"9",9,"-25.198",-21.759
"10",10,"-38.081",-33.309
"11",11,"-41.831",-34.634
"12",12,"-56.498",-49.021
"13",13,"-23.523",-8.647
"14",141,"-50.016",-36.087
"15",15,"-42.414",-31.537
"16",16,"-65.72",-46.405
"17",17,"-35.714",-25.066
"18",18,"-46.001",-34.214
"19",19,"-47.653",-35.023
"20",20,"-69.318",-50.867
