"","X","tss","roc"
"1",1,"0.915752657004831",0.989946135265701
"2",30,"LQHPT",2.5
"3",3,"-56.765",-45.997
"4",4,"-70.921",-60.965
"5",5,"-28.29",-16.779
"6",6,"-51.079",-44.349
"7",7,"-45.765",-38.64
"8",8,"-69.39",-59.341
"9",9,"-33.767",-22.233
"10",10,"-40.589",-30.796
"11",11,"-43.978",-35.971
"12",12,"-56.463",-46.855
"13",13,"-46.971",-35.205
"14",14,"-42.005",-24.693
"15",15,"-40.914",-29.659
"16",16,"-64.098",-50.081
"17",17,"-37.108",-20.979
"18",18,"-41.262",-25.226
"19",19,"-49.988",-34.231
"20",20,"-75.586",-63.008
