"","X","tss","roc"
"1",1,"0.780225316455696",0.934935443037975
"2",14,"LQ",1.5
"3",3,"-1.261",20.643
"4",4,"-1.435",30.17
"5",5,"-3.515",10.905
"6",6,"-0.677",23.804
"7",7,"-2.478",19.83
"8",8,"-1.894",30.313
"9",9,"-1.559",8.297
"10",10,"-0.913",14.582
"11",11,"-0.876",14.619
"12",12,"-0.95",19.134
"13",13,"-3.006",10.955
"14",141,"-1.267",25.357
"15",15,"-1.05",26.326
"16",16,"-1.671",25.183
"17",17,"-2.316",13.607
"18",18,"-0.54",26.053
"19",19,"-0.814",30.164
"20",20,"-1.534",35.095
