"","X","tss","roc"
"1",1,"0.877433333333333",0.969608333333333
"2",24,"LQHPT",2
"3",3,"-37.768",-15.58
"4",4,"-50.964",-26.869
"5",5,"-31.463",-24.485
"6",6,"-35.84",-29.166
"7",7,"-41.43",-34.215
"8",8,"-45.72",-40.52
"9",9,"-21.842",-2.34
"10",10,"-28.039",12.091
"11",11,"-29.014",0.65
"12",12,"-36.316",14.518
"13",13,"-32.871",-25.049
"14",14,"-48.277",-33.738
"15",15,"-49.664",-42.622
"16",16,"-50.943",-35.211
"17",17,"-23.359",5.569
"18",18,"-33.304",-3.575
"19",19,"-31.939",-5.59
"20",20,"-44.377",-25.135
