"","X","tss","roc"
"1",1,"0.6889",0.90596125
"2",40,"LQH",3.5
"3",3,"-11.209",43.639
"4",4,"-14.265",65.032
"5",5,"-5.383",25.955
"6",6,"-7.445",40.1
"7",7,"-8.804",42.819
"8",8,"-11.699",65.087
"9",9,"-3.904",24.96
"10",10,"-5.035",39.285
"11",11,"-5.084",40.064
"12",12,"-7.423",58.653
"13",13,"-9.422",26.741
"14",14,"-15.683",47.021
"15",15,"-10.601",38.892
"16",16,"-17.199",75.732
"17",17,"-6.436",41.119
"18",18,"-9.095",57.366
"19",19,"-7.774",61.915
"20",20,"-13.568",103.459
