"","X","tss","roc"
"1",1,"0.892219512195122",0.979268292682927
"2",18,"LQHPT",1.5
"3",3,"-34.938",171.748
"4",4,"-38.491",240.267
"5",5,"-37.02",72.378
"6",6,"-40.057",99.885
"7",7,"-36.963",98.109
"8",8,"-42.789",165.979
"9",9,"-31.442",67.908
"10",10,"-34.403",91.996
"11",11,"-36.371",92.13
"12",12,"-43.19",150.774
"13",13,"-36.657",107.488
"14",14,"-31.958",194.193
"15",15,"-28.271",196.81
"16",16,"-31.06",243.801
"17",17,"-27.393",132.015
"18",181,"-27.335",198.739
"19",19,"-32.034",213.945
"20",20,"-34.976",271.691
