"","X","tss","roc"
"1",1,"0.651091891891892",0.887460810810811
"2",8,"LQ",1
"3",3,"-31.073",-19.368
"4",4,"-40.501",-26.506
"5",5,"-16.974",-5.952
"6",6,"-21.492",-7.099
"7",7,"-26.09",-15.678
"8",81,"-35.26",-20.495
"9",9,"-14.214",-7.363
"10",10,"-22.662",-13.526
"11",11,"-23.513",-15.224
"12",12,"-36.174",-25.136
"13",13,"-22.526",-12.681
"14",14,"-34.408",-22.773
"15",15,"-29.751",-19.985
"16",16,"-42.783",-31.022
"17",17,"-22.984",-11.753
"18",18,"-33.088",-21.401
"19",19,"-34.171",-21.475
"20",20,"-44.493",-28.468
