"","X","tss","roc"
"1",1,"0.594295238095238",0.864734523809524
"2",40,"LQH",3.5
"3",3,"-5.18",75.816
"4",4,"-5.807",104.223
"5",5,"-2.536",38.532
"6",6,"-2.378",60.938
"7",7,"-4.066",74.94
"8",8,"-3.536",100.891
"9",9,"-1.739",37.002
"10",10,"-1.825",59.856
"11",11,"-2.783",58.706
"12",12,"-2.854",93.963
"13",13,"-4.571",52.629
"14",14,"-5.461",82.042
"15",15,"-3.974",73.232
"16",16,"-4.382",118.159
"17",17,"-1.964",58.31
"18",18,"-3.288",92.937
"19",19,"-2.46",95.85
"20",20,"-4.343",132.574
