"","X","tss","roc"
"1",1,"0.626585714285714",0.873187142857143
"2",8,"LQ",1
"3",3,"-17.05",171.509
"4",4,"-5.333",355.721
"5",5,"-15.076",72.92
"6",6,"-11.404",121.034
"7",7,"-8.856",149.35
"8",81,"-7.769",291.107
"9",9,"-6.907",101.174
"10",10,"-7.782",168.711
"11",11,"-5.671",233.5
"12",12,"-2.198",378.766
"13",13,"-25.144",77.992
"14",14,"-15.388",201.811
"15",15,"-17.474",147.702
"16",16,"-11.292",269.161
"17",17,"-8.156",165.289
"18",18,"-9.605",273.882
"19",19,"-5.821",287.21
"20",20,"-6.383",372.87
