"","X","tss","roc"
"1",1,"0.900168421052632",0.979463157894737
"2",24,"LQHPT",2
"3",3,"-50.211",27.645
"4",4,"-61.051",22.895
"5",5,"-39.522",29.955
"6",6,"-43.879",42.611
"7",7,"-45.155",54.15
"8",8,"-55.502",33.71
"9",9,"-39.564",24.768
"10",10,"-49.103",27.335
"11",11,"-47.841",28.349
"12",12,"-60.694",10.497
"13",13,"-43.381",24.847
"14",14,"-56.037",0.775
"15",15,"-55.028",14.435
"16",16,"-67.285",-13.393
"17",17,"-48.089",25.5
"18",18,"-52.746",24.087
"19",19,"-56.624",13.839
"20",20,"-71.383",14.679
