"","X","tss","roc"
"1",1,"0.928309756097561",0.981667073170732
"2",2,"L",0.5
"3",3,"-95.219",-67.521
"4",4,"-93.593",-59.611
"5",5,"-20.306",41.35
"6",6,"-94.973",-73.903
"7",7,"-56.136",-28.093
"8",8,"-94.8",-59.512
"9",9,"-41.597",-21.439
"10",10,"-83.908",-65.697
"11",11,"-68.901",-45.983
"12",12,"-94.529",-85.288
"13",13,"-56.358",41.276
"14",14,"-91.646",-44.283
"15",15,"-80.36",-4.041
"16",16,"-83.563",-3.277
"17",17,"-75.111",-27.92
"18",18,"-88.147",-42.287
"19",19,"-92.311",-47.536
"20",20,"-95.712",-49.359
