"","X","tss","roc"
"1",1,"0.789073684210526",0.960052631578947
"2",8,"LQ",1
"3",3,"-27.566",-11.144
"4",4,"-59.531",-43.109
"5",5,"-24.047",49.56
"6",6,"-29.032",94.428
"7",7,"-23.167",87.097
"8",81,"-29.032",253.959
"9",9,"-22.581",0
"10",10,"-30.499",-5.279
"11",11,"-36.364",-6.158
"12",12,"-35.191",14.956
"13",13,"-40.469",-30.792
"14",14,"-43.695",-18.768
"15",15,"-51.906",-37.537
"16",16,"-48.68",-24.34
"17",17,"-44.868",-31.378
"18",18,"-44.282",-26.979
"19",19,"-47.801",-24.633
"20",20,"-59.531",-16.129
