"","X","tss","roc"
"1",1,"0.666633333333333",0.89863
"2",48,"LQHPT",4
"3",3,"-14.896",26.419
"4",4,"-19.49",34.933
"5",5,"-9.396",15.64
"6",6,"-12.256",23.931
"7",7,"-14.605",26.653
"8",8,"-18.571",33.658
"9",9,"-8.504",15.484
"10",10,"-12.105",24.874
"11",11,"-13.101",25.389
"12",12,"-16.64",36.394
"13",13,"-12.122",23.06
"14",14,"-17.438",31.859
"15",15,"-15.519",28.463
"16",16,"-19.892",44.401
"17",17,"-11.631",23.901
"18",18,"-15.386",35.044
"19",19,"-16.807",34.436
"20",20,"-21.118",47.342
