"","X","tss","roc"
"1",1,"0.581669696969697",0.812763636363636
"2",26,"LQ",2.5
"3",3,"-19.063",16.563
"4",4,"-29.914",-4.425
"5",5,"-9.202",4.447
"6",6,"-17.271",1.409
"7",7,"-20.308",3.36
"8",8,"-20.393",10.174
"9",9,"-3.603",15.706
"10",10,"-4.097",26.982
"11",11,"-9.936",16.092
"12",12,"-11.176",27.743
"13",13,"-12.999",8.422
"14",14,"-26.579",-1.716
"15",15,"-19.929",1.038
"16",16,"-28.875",5.419
"17",17,"-8.266",20.345
"18",18,"-14.983",18.869
"19",19,"-15.889",14.289
"20",20,"-23.625",13.51
