"","X","tss","roc"
"1",1,"0.720568292682927",0.919132926829268
"2",34,"LQH",3
"3",3,"-31.123",39.062
"4",4,"-41.252",49.707
"5",5,"-17.309",-3.634
"6",6,"-21.631",6.076
"7",7,"-29.248",19.545
"8",8,"-35.102",26.915
"9",9,"-7.451",20.231
"10",10,"-10.833",44.239
"11",11,"-14.781",40.836
"12",12,"-21.626",57.715
"13",13,"-19.708",30.831
"14",14,"-37.087",37.452
"15",15,"-30.434",42.039
"16",16,"-44.028",52.493
"17",17,"-19.058",24.935
"18",18,"-28.886",47.171
"19",19,"-29.618",45.558
"20",20,"-45.425",68.025
