"","X","tss","roc"
"1",1,"0.800097530864197",0.952898765432099
"2",42,"LQHPT",3.5
"3",3,"-19.945",75.729
"4",4,"-20.865",93.941
"5",5,"-9.4",24.637
"6",6,"-10.77",49.21
"7",7,"-15.932",62.718
"8",8,"-16.112",101.226
"9",9,"-1.943",49.244
"10",10,"-1.699",84.343
"11",11,"-3.203",83.01
"12",12,"-7.666",126.268
"13",13,"-11.271",59.239
"14",14,"-18.91",77.856
"15",15,"-14.699",76.439
"16",16,"-18.742",118.089
"17",17,"-5.681",77.829
"18",18,"-12.653",103.952
"19",19,"-10.431",99.023
"20",20,"-12.267",152.214
