"","X","tss","roc"
"1",1,"0.677709677419355",0.907206451612903
"2",34,"LQH",3
"3",3,"-10.345",110.491
"4",4,"-17.351",145.928
"5",5,"-10.833",42.079
"6",6,"-8.464",81.228
"7",7,"-8.092",86.258
"8",8,"-10.345",149.821
"9",9,"-7.553",45.433
"10",10,"-9.667",74.331
"11",11,"-8.42",78.61
"12",12,"-13.596",120.748
"13",13,"-17.73",44.317
"14",14,"-12.619",117.161
"15",15,"-14.952",84.486
"16",16,"-19.501",154.764
"17",17,"-12.291",60.91
"18",18,"-12.474",100.27
"19",19,"-11.679",105.635
"20",20,"-14.69",209.113
