"","X","tss","roc"
"1",1,"0.711",0.917534
"2",8,"LQ",1
"3",3,"-33.914",9.679
"4",4,"-52.926",-10.664
"5",5,"-16.157",9.06
"6",6,"-19.767",5.37
"7",7,"-30.292",6.48
"8",81,"-34.55",14.151
"9",9,"-9.742",17.591
"10",10,"-17.252",18.737
"11",11,"-20.481",13.86
"12",12,"-31.231",16.358
"13",13,"-21.049",6.801
"14",14,"-44.025",-7.721
"15",15,"-32.861",-0.014
"16",16,"-54.681",-9.541
"17",17,"-15.724",21.669
"18",18,"-26.819",17.15
"19",19,"-27.551",13.603
"20",20,"-47.989",7.204
