"","X","tss","roc"
"1",1,"0.8439",0.929191935483871
"2",42,"LQHPT",3.5
"3",3,"-1.634",26.083
"4",4,"-1.662",41.485
"5",5,"-0.342",6.214
"6",6,"-0.157",15.866
"7",7,"-0.243",11.843
"8",8,"-0.235",21.217
"9",9,"-0.728",4.908
"10",10,"-0.514",16.608
"11",11,"-0.77",15.082
"12",12,"-1.32",23.3
"13",13,"-0.985",17.407
"14",14,"-0.742",40.793
"15",15,"-0.949",36.334
"16",16,"-4.316",55.055
"17",17,"-1.042",9.217
"18",18,"-1.042",27.474
"19",19,"-1.798",22.694
"20",20,"-2.212",54.049
