"","X","tss","roc"
"1",1,"0.704524561403509",0.898988596491228
"2",29,"LQHP",2.5
"3",3,"-7.305",61.199
"4",4,"-11.785",74.742
"5",5,"-4.78",27.588
"6",6,"-5.527",43.667
"7",7,"-7.386",41.627
"8",8,"-9.134",61.92
"9",9,"-4.935",22.963
"10",10,"-8.939",31.446
"11",11,"-8.969",23.319
"12",12,"-12.005",41.612
"13",13,"-7.716",31.827
"14",14,"-10.196",56.569
"15",15,"-7.841",53.693
"16",16,"-18.985",68.168
"17",17,"-10.161",22.918
"18",18,"-8.723",45.38
"19",19,"-10.657",42.088
"20",20,"-15.943",75.539
