"","X","tss","roc"
"1",1,"0.749572463768116",0.945896618357488
"2",24,"LQHPT",2
"3",3,"-35.329",4.198
"4",4,"-47.43",4.539
"5",5,"-20.069",9.949
"6",6,"-25.931",5.336
"7",7,"-31.508",2.964
"8",8,"-39.776",0.158
"9",9,"-18.631",-0.581
"10",10,"-23.934",9.291
"11",11,"-26.767",0.671
"12",12,"-38.039",-2.445
"13",13,"-22.279",16.456
"14",14,"-39.946",9.837
"15",15,"-30.803",24.189
"16",16,"-45.297",20.425
"17",17,"-24.613",0.78
"18",18,"-35.712",0.432
"19",19,"-37.477",-2.67
"20",20,"-53.814",0.553
