"","X","tss","roc"
"1",1,"0.7741",0.9426675
"2",42,"LQHPT",3.5
"3",3,"-36.804",30.963
"4",4,"-50.889",22.177
"5",5,"-18.276",8.435
"6",6,"-27.092",15.955
"7",7,"-34.646",22.299
"8",8,"-40.237",35.428
"9",9,"-10.098",24.702
"10",10,"-16.925",44.26
"11",11,"-21.912",34.14
"12",12,"-31.03",45.631
"13",13,"-25.267",25.729
"14",14,"-46.576",30.149
"15",15,"-37.934",32.231
"16",16,"-53.082",29.303
"17",17,"-19.28",32.048
"18",18,"-33.81",42.401
"19",19,"-35.373",44.393
"20",20,"-53.217",56.487
