"","X","tss","roc"
"1",1,"0.759580701754386",0.921018421052632
"2",35,"LQHP",3
"3",3,"-12.829",25.539
"4",4,"-20.353",23.099
"5",5,"-7.435",20.966
"6",6,"-9.688",24.482
"7",7,"-11.569",23.402
"8",8,"-15.104",32.89
"9",9,"-5.517",13.394
"10",10,"-8.063",29.457
"11",11,"-8.972",18.919
"12",12,"-13.119",26.042
"13",13,"-7.886",28.195
"14",14,"-18.302",23.642
"15",15,"-13.285",28.197
"16",16,"-21.546",45.924
"17",17,"-8.719",22.099
"18",18,"-13.381",32.555
"19",19,"-12.848",30.785
"20",20,"-22.384",40.38
