"","X","tss","roc"
"1",1,"0.72616862745098",0.919883333333333
"2",8,"LQ",1
"3",3,"-10.29",35.106
"4",4,"-20.137",28.744
"5",5,"-5.721",22.333
"6",6,"-9.442",24.563
"7",7,"-12.937",26.068
"8",81,"-17.554",42.595
"9",9,"-4.093",20.122
"10",10,"-7.941",28.218
"11",11,"-9.121",21.762
"12",12,"-13.051",31.642
"13",13,"-11.35",20.37
"14",14,"-22.885",12.486
"15",15,"-17.57",15.359
"16",16,"-31.697",21.404
"17",17,"-5.683",28.494
"18",18,"-11.709",31.705
"19",19,"-11.517",29.493
"20",20,"-25.88",29.306
