"","X","tss","roc"
"1",1,"0.9879",0.996233783783784
"2",10,"LQH",1
"3",3,"-100",-99.492
"4",4,"-100",-98.983
"5",5,"-45.593",-44.576
"6",6,"-98.644",-86.441
"7",7,"-75.932",-75.932
"8",8,"-100",-81.441
"9",9,"-53.644",-53.051
"10",101,"-94.661",-94.661
"11",11,"-93.983",-93.983
"12",12,"-100",-99.661
"13",13,"-100",-92.881
"14",14,"-100",-100
"15",15,"-100",-99.831
"16",16,"-100",-99.746
"17",17,"-84.831",-84.831
"18",18,"-100",-100
"19",19,"-100",-100
"20",20,"-100",-99.576
