"","X","tss","roc"
"1",1,"0.9983",0.9997625
"2",40,"LQH",3.5
"3",3,"-86.726",-77.212
"4",4,"-91.814",-78.761
"5",5,"-69.027",124.558
"6",6,"-18.805",226.77
"7",7,"-69.248",160.398
"8",8,"-62.611",249.115
"9",9,"-19.248",58.186
"10",10,"-32.743",76.77
"11",11,"-75.442",42.257
"12",12,"-77.876",71.46
"13",13,"-95.796",-90.929
"14",14,"-94.248",-71.239
"15",15,"-92.699",-87.611
"16",16,"-91.15",-29.646
"17",17,"-88.053",-33.85
"18",18,"-87.611",-22.345
"19",19,"-85.619",-3.54
"20",20,"-88.496",24.336
