"","X","tss","roc"
"1",1,"0.741567741935484",0.938197580645161
"2",23,"LQHP",2
"3",3,"-12.672",14.013
"4",4,"-18.3",13.428
"5",5,"-6.973",3.976
"6",6,"-9.738",8.037
"7",7,"-13.847",4.926
"8",8,"-18.231",6.198
"9",9,"-5.574",8.84
"10",10,"-7.137",20.504
"11",11,"-10.071",9.301
"12",12,"-12.681",17.023
"13",13,"-9.447",10.284
"14",14,"-14.459",11.481
"15",15,"-11.102",13.927
"16",16,"-16.948",17.634
"17",17,"-6.876",13.372
"18",18,"-12.351",12.478
"19",19,"-11.837",14.153
"20",20,"-19.693",10.157
