"","X","tss","roc"
"1",1,"0.738545945945946",0.918866216216216
"2",44,"LQ",4
"3",3,"-1.523",84.427
"4",4,"-1.95",151.709
"5",5,"-2.481",38.365
"6",6,"-2.147",65.924
"7",7,"-2.492",67.474
"8",8,"-3.456",162.763
"9",9,"-1.085",29.678
"10",10,"-1.523",49.945
"11",11,"-1.621",53.719
"12",12,"-1.851",106.661
"13",13,"-5.637",17.145
"14",14,"-3.665",73.395
"15",15,"-4.831",45.81
"16",16,"-3.089",131.612
"17",17,"-1.775",50.11
"18",18,"-2.136",89.445
"19",19,"-1.824",99.825
"20",20,"-2.684",183.907
