"","X","tss","roc"
"1",1,"0.67465",0.89720390625
"2",28,"LQH",2.5
"3",3,"-38.16",0.936
"4",4,"-54.003",-12.534
"5",5,"-21.8",-5.257
"6",6,"-28.771",1.047
"7",7,"-36.434",-6.017
"8",8,"-45.014",-10.38
"9",9,"-13.374",6.961
"10",10,"-22.186",13.767
"11",11,"-24.878",4.46
"12",12,"-35.939",5.235
"13",13,"-27.837",7.773
"14",14,"-48.751",-13.381
"15",15,"-40.537",-1.332
"16",16,"-59.5",-7.171
"17",17,"-24.252",3.61
"18",18,"-39.227",0.374
"19",19,"-40.552",-3.477
"20",20,"-59.478",-16.152
