"","X","tss","roc"
"1",1,"0.718352941176471",0.890659803921569
"2",8,"LQ",1
"3",3,"-26.964",6.834
"4",4,"-32.832",10.342
"5",5,"-18.337",-7.554
"6",6,"-22.215",-5.499
"7",7,"-25.259",-3.47
"8",81,"-27.5",5.046
"9",9,"-8.466",8.13
"10",10,"-9.417",21.636
"11",11,"-15.049",13.99
"12",12,"-19.825",22.325
"13",13,"-18.942",7.32
"14",14,"-30.459",6.887
"15",15,"-23.588",12.839
"16",16,"-30.862",21.709
"17",17,"-13.311",14.395
"18",18,"-20.827",20.834
"19",19,"-20.582",16.78
"20",20,"-29.453",34.57
