"","X","tss","roc"
"1",1,"0.727269230769231",0.914735384615385
"2",34,"LQH",3
"3",3,"-7.469",46.755
"4",4,"-11.462",75.318
"5",5,"-5.372",13.932
"6",6,"-9.113",29.022
"7",7,"-7.662",28.849
"8",8,"-13.313",70.232
"9",9,"-6.69",13.546
"10",10,"-11.203",19.41
"11",11,"-11.296",21.906
"12",12,"-12.82",55.741
"13",13,"-11.023",4.573
"14",14,"-14.092",37.889
"15",15,"-10.444",17.453
"16",16,"-13.466",54.869
"17",17,"-2.41",32.503
"18",18,"-9.079",41.237
"19",19,"-7.249",44.019
"20",20,"-11.196",129.395
