"","X","tss","roc"
"1",1,"0.881485714285714",0.987619642857143
"2",40,"LQH",3.5
"3",3,"-25.283",25.79
"4",4,"-43.858",23.502
"5",5,"-15.004",12.537
"6",6,"-17.46",34.613
"7",7,"-22.005",36.907
"8",8,"-24.208",59.311
"9",9,"-7.333",20.9
"10",10,"-11.928",29.875
"11",11,"-11.878",34.451
"12",12,"-22.938",38.763
"13",13,"-22.836",-2.433
"14",14,"-32.724",11.837
"15",15,"-28.138",4.812
"16",16,"-50.529",-3.568
"17",17,"-15.237",30.304
"18",18,"-19.586",44.402
"19",19,"-21.535",42.882
"20",20,"-35.931",39.391
