"","X","tss","roc"
"1",1,"0.658342857142857",0.889126785714286
"2",20,"LQ",2
"3",3,"-15.18",24.215
"4",4,"-23.519",29.684
"5",5,"-9.924",12.8
"6",6,"-11.733",21.597
"7",7,"-13.899",18.083
"8",8,"-17.496",37.026
"9",9,"-9.806",7.304
"10",10,"-12.291",12.642
"11",11,"-14.157",7.738
"12",12,"-17.418",23.265
"13",13,"-11.524",6.922
"14",14,"-17.965",12.989
"15",15,"-16.101",13.75
"16",16,"-24.506",27.845
"17",17,"-12.894",14.751
"18",18,"-16.221",22.467
"19",19,"-15.734",24.771
"20",201,"-22.653",40.563
