"","X","tss","roc"
"1",1,"0.9882",0.997634090909091
"2",8,"LQ",1
"3",3,"-16.737",24.121
"4",4,"-32.208",-9.494
"5",5,"-14.346",-2.743
"6",6,"-17.44",-4.36
"7",7,"-16.104",-2.813
"8",81,"-21.73",-1.125
"9",9,"-8.298",13.01
"10",10,"-12.729",-0.07
"11",11,"-11.674",10.9
"12",12,"-11.885",12.869
"13",13,"-17.862",-6.399
"14",14,"-23.136",0.914
"15",15,"-19.972",4.993
"16",16,"-34.88",-15.331
"17",17,"-17.089",-8.368
"18",18,"-20.816",-5.485
"19",19,"-21.66",-5.204
"20",20,"-32.349",-11.392
