"","X","tss","roc"
"1",1,"0.623023076923077",0.8737625
"2",38,"LQ",3.5
"3",3,"-9.878",54.627
"4",4,"-14.953",73.725
"5",5,"-6.649",37.943
"6",6,"-6.822",53.114
"7",7,"-9.553",45.804
"8",8,"-12.386",81.189
"9",9,"-7.448",20.07
"10",10,"-10.998",34.62
"11",11,"-10.595",31.839
"12",12,"-12.297",64.039
"13",13,"-10.221",22.332
"14",14,"-13.112",44.778
"15",15,"-13.163",44.86
"16",16,"-17.94",69.234
"17",17,"-6.47",46.631
"18",18,"-12.345",53.985
"19",19,"-10.614",60.82
"20",20,"-15.337",84.087
